     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella  42 19:36:51  -179859.311973       0.3040       0.0000       0.0027       0.9634
Sella  43 19:46:36  -179859.316499       0.2960       0.0000       0.0032       0.9719
Sella  44 19:56:23  -179859.321361       0.2647       0.0000       0.0032       0.9076
Sella  45 20:06:02  -179859.325913       0.2416       0.0000       0.0032       0.9105
Sella  46 20:15:49  -179859.329789       0.2447       0.0000       0.0032       0.9414
Sella  47 20:25:47  -179859.333070       0.2106       0.0000       0.0036       1.0028
Sella  48 20:35:42  -179859.337103       0.2177       0.0000       0.0036       0.7464
Sella  49 20:45:26  -179859.340586       0.1950       0.0000       0.0042       0.9769
Sella  50 20:55:08  -179859.343950       0.1969       0.0000       0.0042       0.8461
Sella  51 21:04:51  -179859.346962       0.1667       0.0000       0.0042       0.6312
Sella  52 21:14:32  -179859.349488       0.1511       0.0000       0.0042       0.5191
Sella  53 21:24:16  -179859.351501       0.1615       0.0000       0.0042       0.4255
Sella  54 21:34:14  -179859.353925       0.1620       0.0000       0.0042       0.7123
Sella  55 21:43:58  -179859.355797       0.1166       0.0000       0.0042       0.8817
Sella  56 21:53:37  -179859.357635       0.1127       0.0000       0.0042       0.6422
Sella  57 22:03:24  -179859.359399       0.1203       0.0000       0.0042       0.7421
Sella  58 22:13:11  -179859.360919       0.1016       0.0000       0.0042       0.6137
Sella  59 22:22:47  -179859.362105       0.1116       0.0000       0.0042       0.5793
Sella  60 22:32:39  -179859.362670       0.0993       0.0000       0.0042       0.3338
Sella  61 22:42:24  -179859.363531       0.1216       0.0000       0.0042       0.5299
Sella  62 22:52:16  -179859.363618       0.1117       0.0000       0.0027       0.0604
Sella  63 23:02:01  -179859.364382       0.1103       0.0000       0.0027       0.7682
Sella  64 23:11:42  -179859.365068       0.1130       0.0000       0.0027       0.5665
Sella  65 23:21:32  -179859.365466       0.1169       0.0000       0.0027       0.6043
Sella  66 23:31:28  -179859.366261       0.1113       0.0000       0.0031       1.0063
Sella  67 23:41:17  -179859.367166       0.1416       0.0000       0.0031       0.6665
Sella  68 23:51:09  -179859.368015       0.1278       0.0000       0.0031       0.7943
Sella  69 00:00:50  -179859.369084       0.1119       0.0000       0.0031       0.6997
Sella  70 00:10:35  -179859.369799       0.0927       0.0000       0.0031       0.6503
Sella  71 00:20:14  -179859.370741       0.1170       0.0000       0.0031       0.7640
Sella  72 00:30:04  -179859.371345       0.1226       0.0000       0.0031       0.8532
Sella  73 00:39:39  -179859.372034       0.0974       0.0000       0.0031       0.5747
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 21:46:28  -179859.372036       0.1244       0.0000       0.1000       1.0000
Sella   1 09:40:31  -179859.180289       1.2971       0.0000       0.0650      -0.0033
Sella   2 09:50:18  -179859.165106       0.8871       0.0000       0.0423      -0.0009
Sella   3 10:00:02  -179859.171705       0.8602       0.0000       0.0275       0.0007
Sella   4 10:09:38  -179859.186695       0.6250       0.0000       0.0179       0.0047
Sella   5 10:19:22  -179859.183844       0.9179       0.0000       0.0116      -0.0023
Sella   6 10:29:15  -179859.190034       0.7084       0.0000       0.0075       0.0102
Sella   7 10:38:56  -179859.194474       0.7143       0.0000       0.0049       0.0159
Sella   8 10:48:46  -179859.199562       0.6077       0.0000       0.0032       0.0412
Sella   9 10:58:28  -179859.203305       0.5883       0.0000       0.0021       0.0750
Sella  10 11:08:15  -179859.205988       0.5409       0.0000       0.0013       0.1546
Sella  11 11:17:55  -179859.208526       0.5286       0.0000       0.0013       0.4483
Sella  12 11:27:42  -179859.210794       0.4983       0.0000       0.0013       0.2362
Sella  13 11:37:18  -179859.212759       0.5065       0.0000       0.0013       0.2835
Sella  14 11:47:03  -179859.214749       0.4795       0.0000       0.0013       0.2112
Sella  15 11:56:47  -179859.216573       0.4605       0.0000       0.0013       0.2331
Sella  16 12:06:35  -179859.218474       0.4880       0.0000       0.0013       0.2374
Sella  17 12:16:36  -179859.220250       0.4855       0.0000       0.0013       0.2612
Sella  18 12:26:22  -179859.222432       0.4227       0.0000       0.0013       0.4011
Sella  19 12:36:12  -179859.224520       0.4318       0.0000       0.0013       0.2274
Sella  20 12:46:07  -179859.226672       0.4855       0.0000       0.0013       0.3530
Sella  21 12:55:41  -179859.229140       0.4131       0.0000       0.0013       0.6465
Sella  22 13:05:40  -179859.231508       0.4384       0.0000       0.0013       0.5052
Sella  23 13:15:34  -179859.233848       0.4236       0.0000       0.0013       0.4965
Sella  24 13:25:21  -179859.236208       0.4339       0.0000       0.0013       0.3439
Sella  25 13:34:59  -179859.238729       0.4178       0.0000       0.0013       0.6271
Sella  26 13:44:48  -179859.241336       0.4252       0.0000       0.0013       0.5507
Sella  27 13:54:37  -179859.244150       0.4111       0.0000       0.0013       0.5807
Sella  28 14:04:36  -179859.246969       0.4368       0.0000       0.0013       0.7946
Sella  29 14:14:27  -179859.250024       0.4106       0.0000       0.0013       0.6661
Sella  30 14:24:19  -179859.252939       0.4042       0.0000       0.0013       0.6434
Sella  31 14:34:08  -179859.256076       0.3985       0.0000       0.0013       0.9208
Sella  32 14:43:46  -179859.259189       0.3425       0.0000       0.0013       0.8860
Sella  33 14:53:36  -179859.262564       0.3841       0.0000       0.0013       0.9476
Sella  34 15:03:21  -179859.265665       0.3529       0.0000       0.0013       0.9586
Sella  35 15:13:17  -179859.269014       0.3368       0.0000       0.0013       0.9557
Sella  36 15:23:04  -179859.272152       0.3316       0.0000       0.0013       0.9495
Sella  37 15:32:59  -179859.275310       0.3219       0.0000       0.0013       0.9615
Sella  38 15:42:42  -179859.278320       0.3102       0.0000       0.0013       0.9437
Sella  39 15:52:20  -179859.281417       0.3198       0.0000       0.0013       0.9014
Sella  40 16:02:27  -179859.284276       0.2995       0.0000       0.0013       0.9540
Sella  41 16:12:16  -179859.287175       0.2844       0.0000       0.0013       0.9582
Sella  42 16:22:18  -179859.290124       0.3036       0.0000       0.0013       0.9384
Sella  43 16:32:00  -179859.292733       0.2880       0.0000       0.0013       0.9420
Sella  44 16:41:38  -179859.295204       0.2900       0.0000       0.0015       0.9693
Sella  45 16:51:19  -179859.297885       0.2872       0.0000       0.0015       0.9485
Sella  46 17:00:54  -179859.300474       0.2701       0.0000       0.0015       0.9374
Sella  47 17:10:34  -179859.303166       0.2931       0.0000       0.0018       0.9786
